2015-04-21 16:13:28,528 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-21 16:13:28,529 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application\src\test\resources
2015-04-21 16:16:36,209 [JavaFX Application Thread] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-04-21 16:16:43,414 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application
2015-04-21 16:16:43,414 [Worker-7] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-04-21 16:17:49,860 [JavaFX Application Thread] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2015-04-21 16:18:01,094 [Worker-1] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application
2015-04-21 16:18:01,094 [Worker-1] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-04-21 16:21:09,167 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application
2015-04-21 16:21:09,167 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean install
2015-04-21 16:25:03,389 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application
2015-04-21 16:25:03,389 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2015-04-21 16:25:35,652 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-21 16:25:35,652 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application\src\main\resources
2015-04-21 16:25:35,654 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-04-21 16:25:35,654 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application\src\test\resources
2015-04-21 16:26:02,942 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application
2015-04-21 16:26:02,942 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2015-04-21 16:26:57,735 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/org/apache/maven/plugins/maven-compiler-plugin/2.5.1/maven-compiler-plugin-2.5.1.jar
2015-04-21 16:26:58,599 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/org/apache/maven/plugins/maven-compiler-plugin/2.5.1/maven-compiler-plugin-2.5.1.pom
2015-04-21 16:26:58,602 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugin:jar:2.5.1 is missing, no dependency information available
2015-04-21 16:26:58,616 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-compiler-plugin:jar:2.5.1 is missing, no dependency information available
2015-04-21 16:26:58,624 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.example.rest:Utilities_Web_Application:0.0.1-SNAPSHOT @ C:\Workspaces\RestWebservicesWorkspace\Utilities_Web_Application\pom.xml.
2015-04-21 16:26:59,547 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/org/apache/maven/plugins/maven-compiler-plugin/3.2/maven-compiler-plugin-3.2.jar
2015-04-21 16:27:00,386 [Worker-10] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo1.maven.org/maven/org/apache/maven/plugins/maven-compiler-plugin/3.2/maven-compiler-plugin-3.2.pom
